,ID,img_link,Name,price,region,description,use,gearbox,mileage,town,Region,Year_of_manufacture,CC
31,31,https://pictures-kenya.jijistatic.com/32463361_MzAwLTIzMy1jMjI4ODdmZTlk.webp,Mazda Axela 2014 SV Premium White,1365000," Nairobi, Ridgeways",Mazda Axela 2014 1500cc Fully loaded/ push to start// very new tyres/ reverse camera/ 9 INCH Android...,Foreign Used,Automatic,108000, Ridgeways, Nairobi,2014,1500cc
32,32,https://pictures-kenya.jijistatic.com/33060184_MzAwLTIyNS00NjM5N2ViOWRh.webp,Mazda Axela 2013 White,1050000," Nairobi, Karen","Mazda axela 2009,auto,1500cc,fabric interior buy and drive",Kenyan Used,Automatic,0, Karen, Nairobi,2013,1500cc
33,33,https://pictures-kenya.jijistatic.com/25557350_MzAwLTIyNS1iMDJjY2RkZDQ3.webp,Mazda Axela 2015 Red,1350000," Mombasa, Mombasa CBD",Mazda axela new shape available we accept deposit from 50% balance 20-30 month call for more details,Foreign Used,Automatic,67000, Mombasa CBD, Mombasa,2015,Not specified
34,34,https://pictures-kenya.jijistatic.com/28250251_MzAwLTQwMC1lMzYxYjU4MDlh.webp,Mazda Axela 2014 SV Premium Red,1480000," Mombasa, Mombasa CBD",Mazda axela saloon fully loaded with low mileage,Foreign Used,Automatic,63857, Mombasa CBD, Mombasa,2014,Not specified
35,35,https://pictures-kenya.jijistatic.com/27398260_MzAwLTIyNS1iM2ZiODQwYWYy.webp,Mazda Axela 2014 Red,1380000," Mombasa, Mombasa CBD",2014new shapecash deal 1400000new numberKDE dark interior new shape,Foreign Used,Automatic,65000, Mombasa CBD, Mombasa,2014,Not specified
36,36,https://pictures-kenya.jijistatic.com/8302034_fb-img-1587724861794_300x225.webp,Mazda Axela 2014 Black,1450000," Mombasa, Mvita","Exceptionally clean Mazda axela year 2014, showroom unit.Cash,hire purchase or bank financing...",Foreign Used,Automatic,46123, Mvita, Mombasa,2014,Not specified
37,37,https://pictures-kenya.jijistatic.com/32203022_MzAwLTIyNS1kZWM4ZDU2ODY0.webp,Mazda Axela 2015 Red,1400000," Mombasa, Mombasa CBD",5 seaterred in colourdiesel engine super cleanfront wheel drivehire purchase accepted bank...,Foreign Used,Automatic,0, Mombasa CBD, Mombasa,2015,Not specified
38,38,https://pictures-kenya.jijistatic.com/22176470_MzAwLTIyNS0zM2ExYjJhYWVh.webp,Mazda Axela 2015 Blue,1400000," Mombasa, Mombasa CBD",2015navy bluefully loadedon hire purchase deposit 800 balance 15 monthsfree food and...,Foreign Used,Automatic,50000, Mombasa CBD, Mombasa,2015,Not specified
39,39,https://pictures-kenya.jijistatic.com/34041342_MzAwLTIyNS03ODU5MjViYzc3.webp,Mazda Axela 2011 Gray,800000," Nairobi, Parklands/Highridge","Mazda axela,1500cc,2wd,dark interior,alloy rims,very neat.",Kenyan Used,Automatic,96000, Parklands/Highridge, Nairobi,2011,1500cc
40,40,https://pictures-kenya.jijistatic.com/33277000_MzAwLTIyNS05MTQzNTljOWFm.webp,Mazda Axela 2015 Blue,1650000," Nairobi, Ridgeways",2015 model 1500cc mazdq axela KDH fully loaded,Foreign Used,Automatic,0, Ridgeways, Nairobi,2015,1500cc
41,41,https://pictures-kenya.jijistatic.com/33481844_MzAwLTIyNS1kOWRkMDlhMGY5.webp,Mazda Axela 2015 Blue,1630000," Nairobi, Ridgeways","Mazda axela sport 2015 1500cc blue with heads up display.reverse camera, alloy rims.",Foreign Used,Automatic,0, Ridgeways, Nairobi,2015,1500cc
42,42,https://pictures-kenya.jijistatic.com/33877131_MzAwLTIyNS1lZTc3NzUyOGUz.webp,Mazda Axela 2015 Red,1630000," Nairobi, Ridgeways",Mazda axela hatchback wine red 2015-red-2015,Foreign Used,Automatic,0, Ridgeways, Nairobi,2015,Not specified
43,43,https://pictures-kenya.jijistatic.com/32220813_MzAwLTIyNS02YjA4ZDhmOTY5.webp,Mazda Axela 2014 SV Premium White,1670000," Nairobi, Kilimani",Mazda Axela Fully loaded in good condition accident free mileage very low with extras alloy rims...,Foreign Used,Automatic,98185, Kilimani, Nairobi,2014,Not specified
44,44,https://pictures-kenya.jijistatic.com/34974319_MzAwLTIyNS0yY2ZlOGVjODE3.webp,Mazda Axela 2015 Black,1750000," Mombasa, Ganjoni",Mazda axela new shape in showroom now call us today and  balance in 15months,Foreign Used,Automatic,64859, Ganjoni, Mombasa,2015,Not specified
45,45,https://pictures-kenya.jijistatic.com/16247758_img-20210113-wa0998_300x225.webp,Mazda Axela 2014 Red,1350000," Mombasa, Mvita",Full-blooded machine with sports rims and low mileage. we also accept both cash and hire purchase....,Foreign Used,Automatic,56332, Mvita, Mombasa,2014,Not specified
46,46,https://pictures-kenya.jijistatic.com/32224703_MzAwLTIyNS05YTdjZTI3ODI4.webp,Mazda Axela 2014 SV Premium Pearl,1350000," Mombasa, Mombasa CBD",axela hatchback petrol engine5 seaterfog lightshire purchase accepted bank financing accepted,Foreign Used,Automatic,0, Mombasa CBD, Mombasa,2014,Not specified
47,47,https://pictures-kenya.jijistatic.com/32849262_MzAwLTIyNS00ZDgzNjlkMWMx.webp,Mazda Axela 2015 Red,1550000," Mombasa, Mombasa CBD",Fully loaded Mazda sports... cash and hp terms accepted,Foreign Used,Automatic,89632, Mombasa CBD, Mombasa,2015,Not specified
48,48,https://pictures-kenya.jijistatic.com/21086558_MzAwLTIyNS0wZGIwNjU1MTFm.webp,Mazda Axela 2015 Blue,1350000," Mombasa, Shimanzi",Mazda axela hatch back new shape we sell on cash hirepurchase and bank finance for hirepurchase we...,Foreign Used,Automatic,0, Shimanzi, Mombasa,2015,Not specified
49,49,https://pictures-kenya.jijistatic.com/28167135_MzAwLTQ4NC03YmM3Mzg5YThi.webp,Mazda Axela 2014 White,1450000," Mombasa, Mombasa CBD",Mazda axela saloon fully loaded,Foreign Used,Automatic,98001, Mombasa CBD, Mombasa,2014,Not specified
50,50,https://pictures-kenya.jijistatic.com/26663398_MzAwLTIyNS00YTZlNTNlM2Jk.webp,Mazda Axela 2014 Blue,1650000," Mombasa, Mombasa CBD",Axela newshape manualnew numberkde*,Foreign Used,Manual,96000, Mombasa CBD, Mombasa,2014,Not specified
51,51,https://pictures-kenya.jijistatic.com/34958727_MzAwLTIyNS02MGRjMTFkY2E1.webp,Mazda Axela 2015 Red,1495000," Mombasa, Mombasa CBD","Fully loaded with alloyrims dvd vcd player reverse camera,dark interior",Foreign Used,Automatic,97000, Mombasa CBD, Mombasa,2015,Not specified
52,52,https://pictures-kenya.jijistatic.com/28166983_MzAwLTQwMC1hYTVhODI1NTgy.webp,Mazda Axela 2015 Red,1550000," Mombasa, Mombasa CBD",Mazda axela saloon fully loaded low mileage,Foreign Used,Automatic,59687, Mombasa CBD, Mombasa,2015,Not specified
53,53,https://pictures-kenya.jijistatic.com/28167029_MzAwLTIyNS1iMTQ2YWYwNDE4.webp,Mazda Axela 2015 Gray,1480000," Mombasa, Mombasa CBD",Mazda axela saloon grey in colour fully loaded with low mileage,Foreign Used,Automatic,89898, Mombasa CBD, Mombasa,2015,Not specified
