,img_link,Name,price,region,description,use,gearbox,mileage
131,https://pictures-kenya.jijistatic.com/25965716_MzAwLTEzNS0zOWM0NDk2ZGQy.webp,Mazda Axela 2014 Red,"KSh 1,450,000"," Nairobi, Runda",Super clean Mazda Axela 2014 on sale,Foreign Used,Automatic,140000km
132,https://pictures-kenya.jijistatic.com/19510901_MzAwLTE2OS01YWRkMzJjYjk5.webp,Mazda Axela 2014,"KSh 1,400,000"," Mombasa, Ganjoni",Beautiful red axela 2014on hire purchase then balance spread for 12 months call mombasa,Foreign Used,Automatic,56325km
133,https://pictures-kenya.jijistatic.com/18026733_img-20210311-124532-547_300x225.webp,Mazda Axela 2014 Gray,"KSh 1,500,000"," Mombasa, Ganjoni",New unit new shapemazda axela,Foreign Used,Automatic,86563km
134,https://pictures-kenya.jijistatic.com/28589946_MzAwLTIyNS0wZGRiNzIyMDA4.webp,Mazda Axela 2014 SV Premium Red,"KSh 1,500,000"," Mombasa, Mombasa CBD",mazda axela 2014 model 2000ccelegant looksaloonhas many extras unlimited packagecall us now,Foreign Used,Automatic,
135,https://pictures-kenya.jijistatic.com/21980565_MzAwLTMwMC1kODk0ODY0ZTM2.webp,Mazda Axela 2014,"KSh 1,599,999"," Mombasa, Mombasa CBD",Mazda axela new shape hatchback dark dky blue. 2014 model.,Foreign Used,Automatic,98000km
136,https://pictures-kenya.jijistatic.com/20147027_MzAwLTMwMC01YzJlODRmMWVl.webp,Mazda Axela 2014 Gray,"KSh 1,400,000"," Mombasa, Mombasa CBD",Maxda axela hatchback.manual transmission. fully loaded,Foreign Used,Automatic,94000km
137,https://pictures-kenya.jijistatic.com/34119254_MzAwLTQwMC05MmYyZGFjMjZk.webp,Mazda Axela 2013 Red,"KSh 1,290,000"," Mombasa, Mombasa CBD",Mazda axela in good condition,Kenyan Used,Automatic,108000km
138,https://pictures-kenya.jijistatic.com/26469582_MzAwLTIyNS1iYjhhMzViOTY5LTE.webp,Mazda Axela 2013 Black,"KSh 1,490,000"," Nairobi, Ridgeways",Mazda axela2000ccyr2013very cleanBuy and drive,Foreign Used,Automatic,115280km
139,https://pictures-kenya.jijistatic.com/34599299_MzAwLTIyNS0zYTgwMWUxOTI5.webp,Mazda Axela 2015 Black,"KSh 1,600,000"," Mombasa, Mombasa CBD",Mazda Axelanew numberfully loadedalloy wheelsetccash and HP,Foreign Used,Automatic,
140,https://pictures-kenya.jijistatic.com/26888296_MzAwLTIyNS04Y2VhMjY3ZmEwLTE.webp,Mazda Axela 2015 Blue,"KSh 1,590,000"," Nairobi, Kilimani",Mazda axela 2014 fully loaded with cruse control,Foreign Used,Automatic,68000km
141,https://pictures-kenya.jijistatic.com/30118869_MzAwLTIyNS00NmJlMWM2MjE1.webp,Mazda Axela 2014 SV Premium Gray,"KSh 1,550,000"," Mombasa, Mombasa CBD","Mazda axela sports skyactive,2014 model,push start engine,auto diesel,alloy rims, DVD ,sunroof,etc",Foreign Used,Automatic,71000km
142,https://pictures-kenya.jijistatic.com/24837623_MzAwLTIyNS00MzNjOTA4MWI1.webp,Mazda Axela 2015 Red,"KSh 1,450,000"," Mombasa, Mvita",Honda axela new model 2014low mileagelow conceptionfully loaded,Foreign Used,Automatic,27000km
143,https://pictures-kenya.jijistatic.com/33873997_MzAwLTIyMy0wOTAyNmZmMzRi.webp,Mazda Axela 2015 White,"KSh 1,700,000"," Nairobi, Nairobi Central",2015 Mazda Axela 1500cc SkyActivDeposit fromfor Business counterparts and clear the balance...,Foreign Used,Automatic,
144,https://pictures-kenya.jijistatic.com/34716979_MzAwLTIyNS02OThmYmZiOWU5.webp,Mazda Axela 2015 Red,"KSh 1,450,000"," Mombasa, Mombasa CBD",Redwine axela 2015 in good condition,Foreign Used,Automatic,107000km
145,https://pictures-kenya.jijistatic.com/33939730_MzAwLTE5MC03MTJhMjI4Y2Ez.webp,Mazda Axela 2014 Black,"KSh 1,630,000"," Nairobi, Ridgeways",2014 Mazda Axela1500cc Petrol PoweredDark fabric seatsPush to startkeyless entry,Foreign Used,Automatic,87000km
146,https://pictures-kenya.jijistatic.com/28111613_MzAwLTIyNS1hMzg5MmFlZjhh.webp,Mazda Axela 2014 Blue,"KSh 1,300,000"," Mombasa, Mombasa CBD","Mazda axela 2014 manual petrol 1500cc,fully  loaded freshly imported from Japan malipo pole pole...",Foreign Used,Automatic,78000km
147,https://pictures-kenya.jijistatic.com/22769152_MzAwLTIyNS00Njk3ZWVlNTA1.webp,Mazda Axela 2014 White,"KSh 1,380,000"," Mombasa, Mombasa CBD",2014 mazda axela for salefully loaded clean unit payment plan available50%-60% depositbal in...,Foreign Used,Automatic,72000km
148,https://pictures-kenya.jijistatic.com/23675443_MzAwLTIyNS00YjhmMmJhY2Q5LTE.webp,Mazda Axela 2014 Red,"KSh 1,450,000"," Mombasa, Mombasa CBD",Mazda axela 2014 sportcash and hp,Foreign Used,Automatic,79000km
149,https://pictures-kenya.jijistatic.com/34109350_MzAwLTQ5OC1mODA3Yzk0ZjMz.webp,Mazda Axela SV Premium 2014 Red,"KSh 1,450,000"," Mombasa, Mombasa CBD",Mazda axela red color manual petrol,Foreign Used,Manual,25000km
150,https://pictures-kenya.jijistatic.com/28951936_MzAwLTIyNS00MmQxM2EzYjQ5.webp,Mazda Axela 2014 SV Premium Silver,"KSh 1,550,000"," Mombasa, Mombasa CBD",Mazda axela hatchback 2014 1500cc automatic petrolvery cleancloth seatscall us now for the best...,Foreign Used,Automatic,
151,https://pictures-kenya.jijistatic.com/28126814_MzAwLTIyNS1lMDgwNTE0OTdh.webp,Mazda Axela 2014 Black,"KSh 1,350,000"," Mombasa, Mombasa CBD","Extremely clean mazda Axela 2014 model,1500cc petrol, low mileage,fully loaded with alloy rims etc...",Foreign Used,Automatic,44000km
152,https://pictures-kenya.jijistatic.com/23760369_MzAwLTIyNS04Zjc1MDlhNDcz.webp,Mazda Axela 2017 White,"KSh 1,300,000"," Mombasa, Mombasa CBD",Cash deal hp accepted call us today for more details,Foreign Used,Automatic,
153,https://pictures-kenya.jijistatic.com/18921545_MzAwLTE4MC1kOThmYzU3MTY1.webp,Mazda Axela 2014 White,"KSh 1,390,000"," Mombasa, Ganjoni",Cash cash deal call or whatsapp mombasa,Foreign Used,Automatic,85432km
154,https://pictures-kenya.jijistatic.com/32897087_MzAwLTIyNS01MDg2NTM1MGRi.webp,Mazda Axela 2014 White,"KSh 1,380,000"," Nairobi, Karen","Mazda axela, 2014 model, newshape, petrol, 1500cckshs: 1,380,000/-call/ sms/ whatsapp: email:...",Foreign Used,Automatic,84000km
155,https://pictures-kenya.jijistatic.com/32056802_MzAwLTIyNS00ZDQ1NGRmYTdk.webp,Mazda Axela 2015 Gray,"KSh 1,500,000"," Mombasa, Mvita",Mazda axela 2015 modelfully loadedlow mileage,Foreign Used,Automatic,46000km
156,https://pictures-kenya.jijistatic.com/8758610_20200514-102527_300x225.webp,Mazda Axela 2014 Black,"KSh 1,600,000"," Mombasa, Mvita",Mazda axela 1500cc fully loaded hire purchase accepted bank/sacco finance accepted,Foreign Used,Automatic,69485km
157,https://pictures-kenya.jijistatic.com/26548615_MzAwLTIyNS1lMzgyOGI2YzE2LTE.webp,Mazda Axela 2015 Black,"KSh 1,550,000"," Mombasa, Mombasa CBD","Mazda axela newshape ,low mileage car ,good price ,fullyloaded car ,foglights, xenon headlights,...",Foreign Used,Automatic,87230km
158,https://pictures-kenya.jijistatic.com/31845630_MzAwLTIyNS00M2YyYzg2OTIy.webp,Mazda Axela 2014 SV Premium Green,"KSh 1,400,000"," Mombasa, Mombasa CBD",Diesel engine5 seaterlow mileageunique shapesilver in colourstylish interiorhire purchase...,Foreign Used,Automatic,
159,https://pictures-kenya.jijistatic.com/26476713_MzAwLTIyNS02NWQzNDQ1NDM5.webp,Mazda Axela 2014 Red,"KSh 1,450,000"," Mombasa, Mombasa CBD",Brandy new axela hatchback best grade bank finance and cash acceptable hire purchase too allowed,Foreign Used,Automatic,44000km
